Case_num	Status	Details
1990223740	Case Was Received	On March 21, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223740, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 20, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223730	Case Was Received	On March 21, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223730, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 20, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223720	Case Was Received	On March 21, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223720, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 20, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223710	Case Rejected Because I Sent An Incorrect Fee	On March 25, 2019, we rejected your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223710, because you sent us the incorrect fee.  We mailed your case back to you, including any supporting materials and the incorrect payment.  Please follow the instructions to resubmit your case.  If you do not receive your rejected case by April 24, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223700	Fees Were Waived	On March 4, 2019, we received your case and waived the filing fee for your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223700.  We mailed you a notice describing how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 3, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223690	Case Was Received	On March 21, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223690, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 20, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223680	Case Was Received	On March 21, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223680, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 20, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223670	Card Was Mailed To Me	On May 21, 2019, we mailed your new card for your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223670, to the address you gave us.  If you do not receive your card by June 5, 2019, please go to www.uscis.gov/e-request  to request that we send your new card to you.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address.
1990223660	Case Was Received	On March 18, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223660, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 17, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223650	Case Was Received	On March 21, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223650, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 20, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223640	Case Rejected For Incorrect Fee And Form Not Signed	On March 25, 2019, we rejected your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223640, because you did not sign the form and the fee you paid was incorrect.  We mailed your case back to you, including any supporting materials and the payment.  Please follow the instructions to resubmit your case.  If you do not receive your rejected case by April 24, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223630	Case Was Rejected Because It Was Improperly Filed	On March 25, 2019, we rejected your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223630, because it was not filed correctly.  We mailed your case back to you, including any supporting materials and fee.  Please follow the instructions to resubmit your case.  If you do not receive your rejected case by April 24, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address. 
1990223620	Case Was Received	On March 21, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223620, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 20, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223610	Case Was Received	On March 21, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223610, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 20, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223600	Case Was Received	On March 21, 2019, we received your Form I-130, Petition for Alien Relative, Receipt Number YSC1990223600, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 20, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223590	Case Rejected Because I Sent An Incorrect Fee	On March 25, 2019, we rejected your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223590, because you sent us the incorrect fee.  We mailed your case back to you, including any supporting materials and the incorrect payment.  Please follow the instructions to resubmit your case.  If you do not receive your rejected case by April 24, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223580	Card Was Mailed To Me	On May 21, 2019, we mailed your new card for your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223580, to the address you gave us.  If you do not receive your card by June 5, 2019, please go to www.uscis.gov/e-request  to request that we send your new card to you.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address.
1990223570	Card Was Mailed To Me	On May 20, 2019, we mailed your new card for your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223570, to the address you gave us.  If you do not receive your card by June 4, 2019, please go to www.uscis.gov/e-request  to request that we send your new card to you.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address.
1990223560	New Card Is Being Produced	On May 29, 2019, we ordered your new card for Receipt Number YSC1990223560, and will mail it to the address you gave us. If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223550	Fees Were Waived	On March 19, 2019, we received your case and waived the filing fee for your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223550.  We mailed you a notice describing how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 18, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223540	Case Was Approved	On May 28, 2019, we approved your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223540. We will mail your approval notice. Please follow the instructions in the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223530	Card Was Mailed To Me	On May 23, 2019, we mailed your new card for your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223530, to the address you gave us.  If you do not receive your card by June 7, 2019, please go to www.uscis.gov/e-request  to request that we send your new card to you.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address.
1990223520	Case Was Received	On March 18, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223520, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 17, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223510	New Card Is Being Produced	On May 29, 2019, we ordered your new card for Receipt Number YSC1990223510, and will mail it to the address you gave us. If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223500	Card Was Mailed To Me	On May 28, 2019, we mailed your new card for your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223500, to the address you gave us.  If you do not receive your card by June 12, 2019, please go to www.uscis.gov/e-request  to request that we send your new card to you.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address.
1990223490	Card Was Mailed To Me	On May 22, 2019, we mailed your new card for your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223490, to the address you gave us.  If you do not receive your card by June 6, 2019, please go to www.uscis.gov/e-request  to request that we send your new card to you.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address.
1990223480	Fees Were Waived	On March 20, 2019, we received your case and waived the filing fee for your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223480.  We mailed you a notice describing how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 19, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223470	Case Was Received	On March 21, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223470, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 20, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223460	Case Was Received	On March 21, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223460, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 20, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223450	Case Was Received	On March 21, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223450, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 20, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223440	Case Was Received	On March 21, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223440, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 20, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223430	Case Was Received	On March 21, 2019, we received your Form I-130, Petition for Alien Relative, Receipt Number YSC1990223430, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 20, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223420	Card Was Delivered To Me By The Post Office	On May 25, 2019, the Post Office delivered your new card for Receipt Number YSC1990223420, to the address that you gave us.  The tracking number assigned is 9205590153708428241229.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223410	Case Was Received	On March 21, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223410, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 20, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223400	Case Was Received	On March 21, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223400, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 20, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223390	Card Was Delivered To Me By The Post Office	On May 28, 2019, the Post Office delivered your new card for Receipt Number YSC1990223390, to the address that you gave us.  The tracking number assigned is 9205590153708428272759.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223380	Case Was Received	On March 21, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223380, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 20, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223370	Case Was Approved	On May 29, 2019, we approved your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223370. We will mail your approval notice. Please follow the instructions in the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223360	Case Was Approved	On May 29, 2019, we approved your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223360. We will mail your approval notice. Please follow the instructions in the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223350	Case Was Received	On March 21, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223350, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 20, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223340	Case Was Received	On March 20, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223340, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 19, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223330	Case Was Received	On March 21, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223330, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 20, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223320	Case Was Received	On March 21, 2019, we received your Form I-130, Petition for Alien Relative, Receipt Number YSC1990223320, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 20, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223310	Case Was Received	On March 21, 2019, we received your Form I-130, Petition for Alien Relative, Receipt Number YSC1990223310, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 20, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223300	Case Was Received	On March 21, 2019, we received your Form I-130, Petition for Alien Relative, Receipt Number YSC1990223300, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 20, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223290	Case Was Received	On March 21, 2019, we received your Form I-130, Petition for Alien Relative, Receipt Number YSC1990223290, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 20, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223280	Case Was Received	On March 21, 2019, we received your Form I-130, Petition for Alien Relative, Receipt Number YSC1990223280, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 20, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223270	Case Was Received	On March 21, 2019, we received your Form I-130, Petition for Alien Relative, Receipt Number YSC1990223270, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 20, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223260	Case Was Received	On March 21, 2019, we received your Form I-130, Petition for Alien Relative, Receipt Number YSC1990223260, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 20, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223250	Case Was Received	On March 20, 2019, we received your Form I-130, Petition for Alien Relative, Receipt Number YSC1990223250, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 19, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223240	Case Was Received	On March 20, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223240, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 19, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223230	Card Was Mailed To Me	On May 23, 2019, we mailed your new card for your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223230, to the address you gave us.  If you do not receive your card by June 7, 2019, please go to www.uscis.gov/e-request  to request that we send your new card to you.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address.
1990223220	Case Was Received	On March 21, 2019, we received your Form I-130, Petition for Alien Relative, Receipt Number YSC1990223220, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 20, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223210	Case Was Received	On March 20, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223210, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 19, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223200	Case Was Received	On March 20, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223200, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 19, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223190	Case Was Received	On March 21, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223190, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 20, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223180	Case Was Approved	On May 29, 2019, we approved your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223180. We will mail your approval notice. Please follow the instructions in the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223170	Case Was Received	On March 20, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223170, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 19, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223160	Case Was Received	On March 21, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223160, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 20, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223150	Case Was Received	On March 21, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223150, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 20, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
